,instance_name,task_name,job_name,task_type,status,start_time,end_time,machine_id,seq_no,total_seq_no,cpu_avg,cpu_max,mem_avg,mem_max
709,ins_887195688,M3_2_6,j_1274904,1,Terminated,386336,386678,m_3502,1,1,66.0,127.0,0.13,0.16
711,ins_91290020,M3_2_6,j_1274904,1,Terminated,386335,386596,m_162,1,1,88.0,135.0,0.13,0.16
713,ins_335224049,M3_2_6,j_1274904,1,Terminated,386334,386532,m_2890,1,1,100.0,154.0,0.14,0.16
714,ins_887196292,M3_2_6,j_1274904,1,Terminated,386335,386576,m_116,1,1,88.0,151.0,0.13,0.16
719,ins_918046559,M3_2_6,j_1274904,1,Terminated,386335,386564,m_2211,1,1,69.0,113.0,0.12,0.15
722,ins_918046476,M3_2_6,j_1274904,1,Terminated,386335,386520,m_2271,1,1,81.0,120.0,0.12,0.15
725,ins_1117898764,M3_2_6,j_1274904,1,Terminated,386335,386630,m_1289,1,1,77.0,135.0,0.14,0.16
732,ins_647113973,M3_2_6,j_1274904,1,Terminated,386335,386553,m_1256,1,1,99.0,161.0,0.13,0.16
735,ins_1330220633,M3_2_6,j_1274904,1,Terminated,386335,386567,m_1524,1,1,91.0,168.0,0.14,0.16
737,ins_55157680,M3_2_6,j_1274904,1,Terminated,386335,386542,m_621,1,1,76.0,159.0,0.13,0.16
739,ins_1343779461,M3_2_6,j_1274904,1,Terminated,386335,386520,m_561,1,1,73.0,129.0,0.12,0.15
742,ins_805848302,M3_2_6,j_1274904,1,Terminated,386335,386552,m_360,1,1,95.0,146.0,0.13,0.16
743,ins_711221982,M3_2_6,j_1274904,1,Terminated,386335,386579,m_3869,1,1,88.0,128.0,0.13,0.16
752,ins_1199252673,M3_2_6,j_1274904,1,Terminated,386335,386601,m_3338,1,1,80.0,122.0,0.13,0.16
757,ins_887196207,M3_2_6,j_1274904,1,Terminated,386335,386597,m_588,1,1,82.0,143.0,0.13,0.16
760,ins_579240093,M3_2_6,j_1274904,1,Terminated,386335,386690,m_3215,1,1,61.0,103.0,0.13,0.16
765,ins_836420171,M3_2_6,j_1274904,1,Terminated,386335,386377,m_544,1,1,84.0,136.0,0.07,0.09
767,ins_955207148,M3_2_6,j_1274904,1,Terminated,386335,386558,m_3839,1,1,94.0,160.0,0.13,0.16
773,ins_159020252,M3_2_6,j_1274904,1,Terminated,386335,386603,m_1119,1,1,81.0,170.0,0.14,0.16
777,ins_873890889,M3_2_6,j_1274904,1,Terminated,386335,386564,m_2106,1,1,93.0,161.0,0.14,0.16
779,ins_172538935,M3_2_6,j_1274904,1,Terminated,386335,386549,m_1202,1,1,94.0,300.0,0.13,0.16
783,ins_1199252835,M3_2_6,j_1274904,1,Terminated,386335,386576,m_3225,1,1,90.0,156.0,0.14,0.16
784,ins_887196553,M3_2_6,j_1274904,1,Terminated,386335,386536,m_3847,1,1,99.0,171.0,0.13,0.16
790,ins_711222131,M3_2_6,j_1274904,1,Terminated,386335,386560,m_759,1,1,93.0,177.0,0.14,0.16
791,ins_1330221717,M3_2_6,j_1274904,1,Terminated,386335,386550,m_1712,1,1,98.0,150.0,0.13,0.16
796,ins_755085277,M3_2_6,j_1274904,1,Terminated,386335,386482,m_180,1,1,90.0,149.0,0.12,0.16
804,ins_91289860,M3_2_6,j_1274904,1,Terminated,386335,386621,m_791,1,1,83.0,133.0,0.13,0.16
807,ins_159020881,M3_2_6,j_1274904,1,Terminated,386335,386563,m_1122,1,1,92.0,146.0,0.13,0.16
810,ins_1330221796,M3_2_6,j_1274904,1,Terminated,386335,386563,m_907,1,1,92.0,162.0,0.13,0.16
813,ins_1117899628,M3_2_6,j_1274904,1,Terminated,386335,386670,m_3797,1,1,69.0,122.0,0.13,0.16
814,ins_1115816161,M3_2_6,j_1274904,1,Terminated,386335,386630,m_3951,1,1,76.0,134.0,0.13,0.16
828,ins_253883730,M3_2_6,j_1274904,1,Terminated,386335,386548,m_1341,1,1,82.0,139.0,0.13,0.16
838,ins_1280563317,M3_2_6,j_1274904,1,Terminated,386335,386618,m_1400,1,1,77.0,128.0,0.13,0.16
847,ins_9834694,M3_2_6,j_1274904,1,Terminated,386335,386577,m_1783,1,1,88.0,132.0,0.13,0.16
863,ins_159020470,M3_2_6,j_1274904,1,Terminated,386335,386568,m_1897,1,1,92.0,159.0,0.13,0.16
874,ins_918045633,M3_2_6,j_1274904,1,Terminated,386334,386497,m_2299,1,1,93.0,151.0,0.13,0.15
884,ins_416583449,M3_2_6,j_1274904,1,Terminated,386335,386564,m_2737,1,1,93.0,151.0,0.14,0.16
891,ins_990897912,M3_2_6,j_1274904,1,Terminated,386335,386612,m_3055,1,1,80.0,143.0,0.14,0.16
897,ins_647114041,M3_2_6,j_1274904,1,Terminated,386335,386598,m_3028,1,1,83.0,131.0,0.13,0.16
898,ins_416583386,M3_2_6,j_1274904,1,Terminated,386335,386606,m_1281,1,1,76.0,156.0,0.13,0.16
900,ins_579240238,M3_2_6,j_1274904,1,Terminated,386335,386562,m_2950,1,1,93.0,184.0,0.14,0.16
902,ins_955207674,M3_2_6,j_1274904,1,Terminated,386335,386590,m_951,1,1,84.0,126.0,0.13,0.16
903,ins_335223586,M3_2_6,j_1274904,1,Terminated,386335,386576,m_1821,1,1,89.0,158.0,0.14,0.16
905,ins_724515996,M3_2_6,j_1274904,1,Terminated,386336,386642,m_1862,1,1,71.0,137.0,0.13,0.16
906,ins_724516590,M3_2_6,j_1274904,1,Terminated,386335,386549,m_3378,1,1,98.0,169.0,0.14,0.16
907,ins_1036544742,M3_2_6,j_1274904,1,Terminated,386336,386655,m_2419,1,1,71.0,162.0,0.13,0.16
908,ins_887196372,M3_2_6,j_1274904,1,Terminated,386335,386555,m_2232,1,1,95.0,151.0,0.14,0.16
910,ins_711222531,M3_2_6,j_1274904,1,Terminated,386335,386573,m_2796,1,1,91.0,162.0,0.14,0.16
915,ins_159020969,M3_2_6,j_1274904,1,Terminated,386334,386541,m_191,1,1,100.0,154.0,0.13,0.16
921,ins_887195596,M3_2_6,j_1274904,1,Terminated,386335,386569,m_1027,1,1,92.0,141.0,0.13,0.16
925,ins_836420359,M3_2_6,j_1274904,1,Terminated,386335,386362,m_1990,1,1,105.0,163.0,0.07,0.09
930,ins_615275346,M3_2_6,j_1274904,1,Terminated,386335,386640,m_3088,1,1,74.0,137.0,0.13,0.16
936,ins_887196121,M3_2_6,j_1274904,1,Terminated,386334,386545,m_2133,1,1,100.0,142.0,0.13,0.16
939,ins_990898677,M3_2_6,j_1274904,1,Terminated,386335,386540,m_3840,1,1,100.0,170.0,0.13,0.16
950,ins_335223229,M3_2_6,j_1274904,1,Terminated,386335,386569,m_99,1,1,91.0,154.0,0.13,0.16
953,ins_1117898937,M3_2_6,j_1274904,1,Terminated,386336,386642,m_846,1,1,72.0,116.0,0.13,0.16
954,ins_805849372,M3_2_6,j_1274904,1,Terminated,386335,386618,m_2758,1,1,77.0,109.0,0.13,0.16
956,ins_955207307,M3_2_6,j_1274904,1,Terminated,386335,386579,m_2982,1,1,87.0,155.0,0.13,0.16
959,ins_172539424,M3_2_6,j_1274904,1,Terminated,386335,386566,m_199,1,1,87.0,161.0,0.13,0.16
965,ins_77669146,M3_2_6,j_1274904,1,Terminated,386335,386609,m_2981,1,1,81.0,139.0,0.13,0.16
966,ins_711222947,M3_2_6,j_1274904,1,Terminated,386335,386579,m_3979,1,1,86.0,114.0,0.13,0.16
968,ins_1199252912,M3_2_6,j_1274904,1,Terminated,386335,386655,m_573,1,1,71.0,144.0,0.13,0.16
